HOSTNAMES STATE GRES CPUS(A/I/O/T) MEMORY
ng30303 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng30304 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 42/6/0/48 510000
ng30401 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 47/1/0/48 510000
ng30402 alloc gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 48/0/0/48 510000
ng30403 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 47/1/0/48 510000
ng30404 mix- gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_4g.20gb:1(S:3),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 45/3/0/48 510000
ng30501 mix gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 45/3/0/48 510000
ng30502 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng30503 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 46/2/0/48 510000
ng30504 mix- gpu:a100_4g.20gb:1(S:3),gpu:a100_3g.20gb:3(S:1,3,7),gpu:a100_2g.10gb:4(S:1,5,7),gpu:a100_1g.5gb:7(S:1,5,7) 47/1/0/48 510000
ng30601 mix- gpu:a100:4(S:0-7) 22/26/0/48 510000
ng30602 mix- gpu:a100:4(S:0-7) 35/13/0/48 510000
ng30603 mix- gpu:a100:4(S:0-7) 18/30/0/48 510000
ng30604 mix- gpu:a100:4(S:0-7) 16/32/0/48 510000
ng30605 mix- gpu:a100:4(S:0-7) 19/29/0/48 510000
ng30701 mix- gpu:a100:4(S:0-7) 28/20/0/48 510000
ng30702 mix- gpu:a100:4(S:0-7) 25/23/0/48 510000
ng30703 mix- gpu:a100:4(S:0-7) 38/10/0/48 510000
ng30704 mix- gpu:a100:4(S:0-7) 15/33/0/48 510000
ng30705 mix- gpu:a100:4(S:0-7) 3/45/0/48 510000
ng30706 mix gpu:a100:4(S:0-7) 26/22/0/48 510000
ng30707 mix- gpu:a100:4(S:0-7) 33/15/0/48 510000
ng30708 drain* gpu:a100:4(S:0-1) 0/0/48/48 510000
ng30709 mix- gpu:a100:4(S:0-7) 32/16/0/48 510000
ng30710 mix- gpu:a100:4(S:0-7) 28/20/0/48 510000
ng30711 mix- gpu:a100:4(S:0-7) 16/32/0/48 510000
ng30712 mix- gpu:a100:4(S:0-7) 25/23/0/48 510000
ng31001 mix- gpu:a100:4(S:0-7) 19/29/0/48 510000
ng31002 mix gpu:a100:4(S:1,3,5,7) 24/40/0/64 1024000
ng31003 mix gpu:a100:4(S:1,3,5,7) 20/44/0/64 1024000
ng31004 mix- gpu:a100:4(S:1,3,5,7) 20/44/0/64 1024000
ng31005 mix- gpu:a100:4(S:1,3,5,7) 42/22/0/64 1024000
ng31006 mix gpu:a100:4(S:1,3,5,7) 43/21/0/64 1024000
ng31101 mix- gpu:a100:4(S:0-7) 22/26/0/48 510000
ng31102 mix- gpu:a100:4(S:0-7) 21/27/0/48 510000
ng31103 mix gpu:a100:4(S:0-7) 19/29/0/48 510000
ng31104 mix gpu:a100:4(S:1,3,5,7) 20/44/0/64 1024000
ng31201 mix- gpu:a100:4(S:0-7) 25/23/0/48 510000
ng31202 mix- gpu:a100:4(S:0-7) 25/23/0/48 510000
ng31203 mix- gpu:a100:4(S:1,3,5,7) 42/22/0/64 1024000
ng31204 mix- gpu:a100:4(S:1,3,5,7) 16/48/0/64 1024000
ng31205 mix gpu:a100:4(S:1,3,5,7) 20/44/0/64 1024000
ng31301 mix- gpu:a100:4(S:1,3,5,7) 18/46/0/64 1024000
ng31302 mix gpu:a100:4(S:1,3,5,7) 12/52/0/64 1024000
ng31303 mix- gpu:a100:4(S:1,3,5,7) 34/30/0/64 1024000
ng31304 mix- gpu:a100:4(S:1,3,5,7) 24/40/0/64 1024000
ng31305 mix- gpu:a100:4(S:1,3,5,7) 10/54/0/64 1024000
ng31401 mix- gpu:a100:4(S:1,3,5,7) 22/42/0/64 1024000
ng31402 mix- gpu:a100:4(S:1,3,5,7) 27/37/0/64 1024000
